iter	Passed	Remaining
0	149	149025
1	150	75171
2	152	50590
3	153	38272
4	156	31141
5	159	26380
6	161	22913
7	163	20252
8	164	18133
9	165	16433
10	167	15051
11	168	13864
12	170	12923
13	173	12210
14	174	11478
15	176	10833
16	177	10272
17	179	9769
18	180	9312
19	185	9087
20	186	8716
21	188	8394
22	190	8093
23	191	7800
24	193	7529
25	194	7284
26	195	7055
27	199	6911
28	200	6713
29	202	6549
30	204	6389
31	205	6223
32	207	6066
33	208	5919
34	209	5781
35	215	5757
36	216	5643
37	219	5544
38	220	5431
39	221	5323
40	223	5218
41	224	5119
42	227	5054
43	228	4971
44	231	4905
45	233	4835
46	234	4752
47	235	4673
48	237	4617
49	239	4546
50	242	4515
51	244	4450
52	245	4392
53	247	4333
54	249	4281
55	250	4223
56	251	4164
57	252	4108
58	254	4058
59	258	4042
60	260	4009
61	262	3974
62	264	3926
63	266	3890
64	267	3849
65	268	3806
66	273	3804
67	275	3769
68	276	3737
69	279	3708
70	280	3672
71	282	3635
72	283	3597
73	284	3562
74	287	3544
75	289	3521
76	291	3494
77	293	3471
78	295	3440
79	296	3411
80	297	3380
81	299	3355
82	303	3354
83	305	3336
84	308	3316
85	309	3288
86	310	3261
87	312	3234
88	313	3209
89	316	3204
90	318	3179
91	321	3169
92	322	3146
93	324	3123
94	325	3101
95	326	3077
96	328	3054
97	332	3057
98	334	3041
99	336	3031
100	338	3012
101	339	2991
102	341	2969
103	342	2949
104	343	2923
105	349	2950
106	351	2935
107	353	2916
108	354	2896
109	355	2877
110	356	2858
111	358	2840
112	363	2850
113	365	2842
114	367	2827
115	368	2810
116	370	2793
117	371	2776
118	372	2761
119	376	2759
120	378	2746
121	380	2734
122	381	2722
123	383	2707
124	384	2694
125	386	2681
126	389	2677
127	393	2681
128	395	2670
129	397	2660
130	398	2646
131	400	2632
132	401	2618
133	404	2617
134	407	2609
135	409	2603
136	411	2591
137	412	2577
138	414	2566
139	415	2552
140	417	2540
141	420	2543
142	422	2534
143	424	2523
144	426	2517
145	428	2505
146	429	2493
147	430	2480
148	433	2476
149	435	2470
150	437	2460
151	439	2450
152	440	2438
153	442	2430
154	443	2419
155	445	2407
156	447	2403
157	449	2396
158	451	2389
159	453	2383
160	455	2373
161	456	2362
162	458	2352
163	459	2341
164	462	2339
165	464	2331
166	465	2321
167	466	2311
168	468	2302
169	469	2293
170	471	2284
171	473	2277
172	474	2269
173	477	2267
174	479	2261
175	481	2255
176	483	2250
177	485	2241
178	486	2233
179	488	2226
180	490	2218
181	493	2216
182	495	2213
183	497	2207
184	499	2200
185	500	2192
186	502	2185
187	504	2177
188	509	2184
189	512	2183
190	514	2177
191	515	2170
192	517	2162
193	518	2155
